University,Programme,Faculty,Field,Tuition Fees,Location
UPM,Bachelor of Environmental Management,Faculty of Environmental Studies,Environmental Protection,660,West
UPM,Bachelor of Bioindustrial Science,Faulty of Argiculture and Food Sciences (Sarawak Campus),Science,660,West
UNISZA,Bachelor Of Accountancy (Hons),Faculty of Business and Management,Accounting & Finance,945,West
UNISZA,Bachelor of Business Administration (Islamic Finance) (Hons),Faculty of Business and Management,Business Management & Administration,945,West
UNISZA,Bachelor of Business Administration (Risk Management and Takaful)  (Hons),Faculty of Business and Management,Business Management & Administration,945,West
UNISZA,Bachelor of Islamic Wealth Management (Hons),Faculty of Business and Management,Business Management & Administration,945,West
UNISZA,Bachelor Of English (Hons),Faculty of Languages And Communication,Languages,945,West
UNISZA,Bachelor of Arabics Studies (Hons),Faculty of Languages And Communication,Social Sciences,945,West
UNISZA,Bachelor of Agribusiness (Hons),Faculty of Bioresources and Food Industry,"Agriculture, Forestry, Fishery & Veterinary",1295,West
UNISZA,Bachelor of Food Technology (Hons),Faculty of Bioresources and Food Industry,Manufacturing & Processing,1295,West
UNISZA,Bachelor of Science (Aquatic Science) (Hons),Faculty of Bioresources and Food Industry,"Agriculture, Forestry, Fishery & Veterinary",1295,West
UNISZA,Bachelor Of Agricultural Biotechnology (Hons),Faculty of Bioresources and Food Industry,"Agriculture, Forestry, Fishery & Veterinary",1295,West
UNISZA,Bachelor Of Production & Animal Health (Hons),Faculty of Bioresources and Food Industry,"Agriculture, Forestry, Fishery & Veterinary",1295,West
UNISZA,Bachelor of Computer Science (Computer Network & Security) (Hons),Faculty of Informatics and Computing,Computing & IT,1045,West
UNISZA,Bachelor of Computer Science (Internet Computing) (Hons),Faculty of Informatics and Computing,Computing & IT,1045,West
UNISZA,Bachelor of Computer Science (Software Development) (Hons),Faculty of Informatics and Computing,Computing & IT,1045,West
UNISZA,Bachelor of Information Technology (Informatics Media) (Hons),Faculty of Informatics and Computing,Computing & IT,1045,West
UNISZA,Bachelor of Dietetics (Hons),Faculty of Health Sciences,Medicine & Healthcare,1395,West
UNISZA,Bachelor of Food Science (Hons),Faculty of Health Sciences,Medicine & Healthcare,1395,West
UNISZA,Bachelor of Medical Imaging (Hons),Faculty of Health Sciences,Medicine & Healthcare,1395,West
UNISZA,Bachelor of Science Biomedicine (Hons),Faculty of Health Sciences,Medicine & Healthcare,1395,West
UNISZA,Bachelor of Industrial Design (Hons),Faculty of Innovation Design and Technology,Arts & Design,1245,West
UNISZA,Bachelor of Tech. Manufacturing Engineering (Product Design) (Hons),Faculty of Innovation Design and Technology,Engineering,1245,West
UNISZA,Bachelor of Law (Hons),Faculty of Laws and International Relations,Law,945,West
UNISZA,Bachelor of International Relations (Hons),Faculty of Laws and International Relations,Social Sciences,945,West
UNISZA,Bachelor of Islamic Studies (Dakwah) (Hons),Faculty of Islamic Contemporary Studies,Humanities,945,West
UNISZA,Bachelor of Islamic Studies (Syariah) (Hons),Faculty of Islamic Contemporary Studies,Humanities,945,West
UNISZA,Bachelor of Islamic Studies (Usuluddin) (Hons),Faculty of Islamic Contemporary Studies,Humanities,945,West
UNISZA,Bachelor of Usuluddin with Counselling (Hons),Faculty of Islamic Contemporary Studies,Humanities,945,West
UNISZA,Bachelor of Al-Quran & Al-Sunnah (Qiraat) (Hons),Faculty of Islamic Contemporary Studies,,945,West
UNISZA,Bachelor of Medicine and Bachelor of Surgery,Faculty of Medicine,Medicine & Healthcare,1595,West
UNISZA,Bachelor of Pharmacy (Hons),Faculty of Pharmacy,Medicine & Healthcare,1445,West
UNISZA,Bachelor of Social Science (Antropology and Dakwah) (Hons),Faculty of Applied Social Sciences,Social Sciences,945,West
UNISZA,Bachelor of Social Work (Hons),Faculty of Applied Social Sciences,Social Services,945,West
UTEM,Bachelor Of Electronic Engineering With Honours,Faculty of Electronics and Computer Engineering,Engineering,850,West
UTEM,Bachelor Of Computer Engineering With Honours,Faculty of Electronics and Computer Engineering,Engineering,850,West
UTEM,Bachelor Of Mechatronics Engineering With Honours,Faculty of Electrical Engineering,Engineering,850,West
UTEM,Bachelor Of Electrical Engineering With Honours,Faculty of Electrical Engineering,Engineering,850,West
UTEM,Bachelor Of Mechanical Engineering With Honours,Faculty of Mechanical Engineering,Engineering,850,West
UTEM,Bachelor Of Automotive Engineering With Honours,Faculty of Mechanical Engineering,Engineering,850,West
UTEM,Bachelor Of Manufacturing Engineering With Honours,Faculty of Manufacturing Engineering,Engineering,850,West
UTEM,Bachelor Of Industrial Engineering With Honours,Faculty of Manufacturing Engineering,Engineering,850,West
UTEM,Bachelor Of Computer Science (Computer Networking) With Honours,Faculty of Information and Communications Technology,Computing & IT,850,West
UTEM,Bachelor Of Computer Science (Database Management) With Honours,Faculty of Information and Communications Technology,Computing & IT,850,West
UTEM,Bachelor Of Computer Science (Artificial Intelligence) With Honours,Faculty of Information and Communications Technology,Computing & IT,850,West
UTEM,Bachelor Of Computer Science (Interactive Media) With Honours,Faculty of Information and Communications Technology,Computing & IT,850,West
UTEM,Bachelor Of Computer Science (Software Development) With Honours,Faculty of Information and Communications Technology,Computing & IT,850,West
UTEM,Bachelor Of Computer Science (Computer Security) With Honours,Faculty of Information and Communications Technology,Computing & IT,850,West
UTEM,Bachelor Of Information Technology (Games Technology) With Honours,Faculty of Information and Communications Technology,Audio-visual Techniques & Media Production,850,West
UTEM,Bachelor Of Technopreneurship With Honours,Faculty of Technology Management and Technopreneurship,Business Management & Administration,850,West
UTEM,Bachelor Of Technology Management With Honours (Technology Innovation),Faculty of Technology Management and Technopreneurship,Business Management & Administration,850,West
UTEM,Bachelor Of Technology Management With Honours (High Technology Marketing),Faculty of Technology Management and Technopreneurship,Business Management & Administration,850,West
UTEM,Bachelor Of Technology Management (Supply Chain Management And Logistics) With Honours,Faculty of Technology Management and Technopreneurship,Business Management & Administration,850,West
UTEM,Bachelor Of Electrical Engineering Technology (Industrial Power) With Honours,Faculty of Electrical and Electronic Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Electrical Engineering Technology (Industrial Automation And Robotics) With Honours,Faculty of Electrical and Electronic Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Electronics Engineering Technology (Telecommunications) With Honours,Faculty of Electrical and Electronic Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Electronics Engineering Technology (Industrial Electronics) With Honours,Faculty of Electrical and Electronic Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Computer Engineering Technology (Computer Systems) With Honours,Faculty of Electrical and Electronic Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Electrical Engineering Technology With Honours,Faculty of Electrical and Electronic Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Electronics Engineering Technology With Honours,Faculty of Electrical and Electronic Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Technology In Industrial Electronic Automation With Honours,Faculty of Electrical and Electronic Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Technology In Electrical Maintenance System With Honours,Faculty of Electrical and Electronic Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Mechanical Engineering Technology (Automotive Technology) With Honours,Faculty of Mechanical and Manufacturing Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Mechanical Engineering Technology (Refrigeration And Air Conditioning Systems) With Honours,Faculty of Mechanical and Manufacturing Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Mechanical Engineering Technology (Maintenance Technology) With Honours,Faculty of Mechanical and Manufacturing Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Manufacturing Engineering Technology (Process And Technology) With Honours,Faculty of Mechanical and Manufacturing Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Manufacturing Engineering Technology (Product Design) With Honours,Faculty of Mechanical and Manufacturing Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Mechanical Engineering Technology With Honours,Faculty of Mechanical and Manufacturing Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Manufacturing Engineering Technology With Honours,Faculty of Mechanical and Manufacturing Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Technology In Industrial Machining With Honours,Faculty of Mechanical and Manufacturing Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Technology In Welding With Honours,Faculty of Mechanical and Manufacturing Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Technology In Automotive With Honours,Faculty of Mechanical and Manufacturing Engineering Technology,Engineering,850,West
UTEM,Bachelor Of Technology In Air Conditioning And Refrigeration With Honours,Faculty of Mechanical and Manufacturing Engineering Technology,Engineering,850,West
UUM,Bachelor of Education with Honours (Accounting),School of Education,Education,550,West
UUM,Bachelor of Education with Honours (Business Management),School of Education,Education,550,West
UUM,Bachelor of Education with Honours (Guidance and Counselling),School of Education,Education,550,West
UUM,Bachelor of Education with Honours (Information Technology),School of Education,Education,550,West
UUM,Bachelor of Education with Honours (Moral Education),School of Education,Education,550,West
UUM,Bachelor of Communication with Honours,School of Multimedia Technology & Communication,Communication & Broadcasting,660,West
UUM,Bachelor of Media Technology with Honours,School of Multimedia Technology & Communication,Audio-visual Techniques & Media Production,660,West
UUM,Bachelor of Science with Honours (Multimedia),School of Multimedia Technology & Communication,Audio-visual Techniques & Media Production,660,West
UUM,Bachelor of Creative Industry Management with Honours,School of Creative Indstry Management & Performing Arts,Communication & Broadcasting,660,West
UUM,Bachelor of Computer Science with Honours,School of Computing,Computing & IT,660,West
UUM,Bachelor of Science with Honours (Information Technology),School of Computing,Computing & IT,660,West
UUM,Bachelor of Science with Honours (Business Mathematics),School of Quantitative Sciences,Business Management & Administration,550,West
UUM,Bachelor of Science with Honours (Decision Science),School of Quantitative Sciences,Business Management & Administration,550,West
UUM,Bachelor of Science with Honours (Industrial Statistics),School of Quantitative Sciences,Science,550,West
UUM,Bachelor of Accounting with Honours,School of Accountancy,Accounting & Finance,550,West
UUM,Bachelor of Accounting (Information System) with Honours,School of Accountancy,Accounting & Finance,550,West
UUM,Bachelor of Banking with Honours,"School of Economics, Finance & Banking",Business Management & Administration,550,West
UUM,Bachelor of Finance with Honours,"School of Economics, Finance & Banking",Business Management & Administration,550,West
UUM,Bachelor of Risk Management and Insurance with Honours,"School of Economics, Finance & Banking",Business Management & Administration,550,West
UUM,Bachelor of Science Agribusiness Management with Honours,"School of Economics, Finance & Banking","Agriculture, Forestry, Fishery & Veterinary",550,West
UUM,Bachelor of Science Economics with Honours,"School of Economics, Finance & Banking",Business Management & Administration,550,West
UUM,Bachelor of Law with Honours,School of Law,Law,550,West
UUM,"Bachelor of Philosophy, Law and Business with Honours ",School of Law,Law,550,West
UUM,Bachelor of Islamic Finance and Banking with Honours,Islamic Business School,Business Management & Administration,550,West
UUM,Bachelor of Muamalat Administration with Honours,Islamic Business School,Business Management & Administration,550,West
UUM,Bachelor of Business Administration with Honours,School of Business Management,Business Management & Administration,550,West
UUM,Bachelor of Entrepreneurship with Honours,School of Business Management,Business Management & Administration,550,West
UUM,Bachelor of Entrepreneurship with Honours (Mode 2u2i),School of Business Management,Business Management & Administration,550,West
UUM,Bachelor of Human Resource Management with Honours,School of Business Management,Business Management & Administration,550,West
UUM,Bachelor of Marketing with Honours,School of Business Management,Business Management & Administration,550,West
UUM,Bachelor of Business Administration (Logistics and Transportation) with Honours,School of Technology Management & Logistics,Business Management & Administration,550,West
UUM,Bachelor of Operations Management with Honours,School of Technology Management & Logistics,Business Management & Administration,550,West
UUM,Bachelor of Technology Management with Honours,School of Technology Management & Logistics,Business Management & Administration,550,West
UUM,Bachelor of Development Management with Honours,School of Government,Business Management & Administration,550,West
UUM,Bachelor of Public Management with Honours,School of Government,Business Management & Administration,550,West
UUM,Bachelor of International Affairs Management with Honours,School of International Studies,Business Management & Administration,550,West
UUM,Bachelor of International Business Management with Honours,School of International Studies,Business Management & Administration,550,West
UUM,Bachelor of Event Management with Honours,"School of Tourism, Hospitality & Event Management",Business Management & Administration,550,West
UUM,Bachelor of Hospitality Management with Honours,"School of Tourism, Hospitality & Event Management",Business Management & Administration,550,West
UUM,Bachelor of Tourism Management with Honours,"School of Tourism, Hospitality & Event Management",Business Management & Administration,550,West
UUM,Bachelor of Counselling with Honours,"School of Applied Psychology, Social Work & Policy",Social Services,550,West
UUM,Bachelor of Social Work Management with Honours,"School of Applied Psychology, Social Work & Policy",Business Management & Administration,550,West
UUM,Bachelor of Business Administration (Golf Management) with Honours,National Golf Academy,Business Management & Administration,550,West
UMT,Bachelor of Science (Biological Sciences) with Honours,Faculty of Science and Marine Environment,Science,940,West
UMT,Bachelor of Applied Science (Biodiversity Conservation and Management) with Honours,Faculty of Science and Marine Environment,Science,940,West
UMT,Bachelor of Science (Analytical and Environmental Chemistry) with Honours,Faculty of Science and Marine Environment,Science,940,West
UMT,Bachelor of Science (Chemical Sciences) with Honours,Faculty of Science and Marine Environment,Science,940,West
UMT,Bachelor of Science (Marine Science) with Honours,Faculty of Science and Marine Environment,Science,940,West
UMT,Bachelor of Science (Marine Biology) with Honours,Faculty of Science and Marine Environment,Science,940,West
UMT,Bachelor of Science (Geoscience Marine) with Honours,Faculty of Science and Marine Environment,Science,940,West
UMT,Bachelor of Science (Nanophysics) with Honours,Faculty of Science and Marine Environment,Science,940,West
UMT,Bachelor of Technology (Environment) with Honours,Faculty of Ocean Engineering Technology & Informatics,Environmental Protection,980,West
UMT,Bachelor of Science (Applied Mathematics) with Honours,Faculty of Ocean Engineering Technology & Informatics,Science,980,West
UMT,Bachelor of Science (Financial Mathematics) with Honours,Faculty of Ocean Engineering Technology & Informatics,Science,980,West
UMT,Bachelor of Computer Science (Mobile Computing) with Honours,Faculty of Ocean Engineering Technology & Informatics,Computing & IT,980,West
UMT,Bachelor of Computer Science (Software Engineering) with Honours,Faculty of Ocean Engineering Technology & Informatics,Computing & IT,980,West
UMT,Bachelor of Computer Science with Maritime Informatics with Honours,Faculty of Ocean Engineering Technology & Informatics,Computing & IT,980,West
UMT,Bachelor of Applied Science (Maritime Technology) with Honours,Faculty of Ocean Engineering Technology & Informatics,Science,980,West
UMT,Bachelor of Mechanical Engineering Technology (Naval Architecture) with Honour,Faculty of Ocean Engineering Technology & Informatics,Engineering,980,West
UMT,Bachelor of Applied Science (Electronic and Instrumentation) with Honours,Faculty of Ocean Engineering Technology & Informatics,Science,940,West
UMT,Bachelor of Food Science (Food Service and Nutrition) with Honours,Faculty of Fishery and Food Sciences,Manufacturing & Processing,980,West
UMT,Bachelor of Food Science (Food Technology) with Honours,Faculty of Fishery and Food Sciences,Manufacturing & Processing,980,West
UMT,Bachelor of Science in Agrotechnology (Crop Science) with Honours,Faculty of Fishery and Food Sciences,"Agriculture, Forestry, Fishery & Veterinary",980,West
UMT,Bachelor of Applied Science (Fisheries) with Honours,Faculty of Fishery and Food Sciences,"Agriculture, Forestry, Fishery & Veterinary",980,West
UMT,Bachelor of Science in Aquaculture with Honours,Faculty of Fishery and Food Sciences,Science,980,West
UMT,Bachelor of Management (Maritime) with Honours,Faculty of Maritime Studies,Transport Services,870,West
UMT,Bachelor of Science (Nautical Sciences and Maritime Transport) with Honours,Faculty of Maritime Studies,Transport Services,980,West
UMT,Bachelor of Maritime Operations Management with Honours,Faculty of Maritime Studies,Transport Services,980,West
UMT,Bachelor of Economics (Natural Resources) with Honours,"Faculty of Business, Economics and Social Developement",Business Management & Administration,870,West
UMT,Bachelor of Management (Marketing) with Honours,"Faculty of Business, Economics and Social Developement",Business Management & Administration,870,West
UMT,Bachelor of Accounting with Honours,"Faculty of Business, Economics and Social Developement",Accounting & Finance,870,West
UMT,Bachelor of Counseling with Honours,"Faculty of Business, Economics and Social Developement",Social Services,870,West
UMT,Bachelor of Management (Policy Studies) with Honours,"Faculty of Business, Economics and Social Developement",Business Management & Administration,870,West
UMT,Bachelor of Management Tourism with Honours,"Faculty of Business, Economics and Social Developement",Hospitality & Tourism,870,West
USM,Bachelor of Science with Education (Honours) [Mathematics / Physics / Chemistry / Biology],School of Educational Studies,Education,1320,West
USM,Bachelor of Education (Honours) (Special Education),School of Educational Studies,Education,1100,West
USM,Bachelor of Education (Honours) (Tesol),School of Educational Studies,Education,1100,West
USM,Bachelor of Arts (Honours) (Fine Arts),School of Arts,Arts & Design,1400,West
USM,Bachelor of Music Art (Honours) (Performing Arts And Pedagogy),School of Arts,Arts & Design,1400,West
USM,Bachelor of Fine Arts (Honours) (Acting & Directing),School of Arts,Arts & Design,1400,West
USM,Bachelor of Fine Arts (Honours) (Design And New Media Technology),School of Arts,Arts & Design,1400,West
USM,Bachelor of Fine Arts (Honours) (Communication Graph),School of Arts,Arts & Design,1400,West
USM,Bachelor of Fine Arts (Honours) (Product Design),School of Arts,Arts & Design,1400,West
USM,Bachelor of Interior Architecture (Honours),"School of Housing, Building and Planning",Architecture & Building,1400,West
USM,Bachelor of Arts (Honours) (Translation With Interpretation),"School of Languages, Literacies and Translation",Languages,1020,West
USM,Bachelor of Arts (Honours) (English Language For Professionals),"School of Languages, Literacies and Translation",Languages,1020,West
USM,Bachelor of Arts (Honours) (English Language And Literature),"School of Languages, Literacies and Translation",Languages,1020,West
USM,"Bachelor of Public Science (Honours) [Anthropology & Sociology / Economics / 
Sciencepolitik / Peranc Angan & Development Management]",School of Social Sciences,Social Sciences,1020,West
USM,Bachelor of Communications (Honours) [Film & Broadcast / Communication Persuasion / Journalism],School of Communication,Communication & Broadcasting,1100,West
USM,Bachelor of Accounting (Honours),School of Management,Accounting & Finance,1100,West
USM,Bachelor of Management (Honours) [Strategy & Organization Management / Marketing / Finance / International Operations / Business Management / Islamic Finance / Business Analytics],School of Management,Business Management & Administration,1100,West
USM,"Bachelor of Science (Praise) (Biology) [Biotechnology / Agrobiology / 
Aquatic Biology / Environmental Biology / Entomology & Parasitology]",School of Biological Sciences,Science,1320,West
USM,Bachelor of Science (Honours) (Biology) [Microbiology / Plant Biology / Animal Biology],School of Biological Sciences,Science,1240,West
USM,Bachelor of Science (Honours) (Physics),School of Physics,Science,1240,West
USM,Bachelor of Science (Honours) (Analytical Chemistry),School of Chemical Sciences,Science,1320,West
USM,Bachelor of Science (Honours) (Chemistry),School of Chemical Sciences,Science,1240,West
USM,Bachelor of Applied Science (Honours) (Geophysics),School of Physics,Social Sciences,1320,West
USM,Bachelor of Applied Science (Honours) (Mathematics And Economics),School of Mathematical Sciences,Mathematics & Statistics,1320,West
USM,Bachelor of Science (Honours) (Mathematics),School of Mathematical Sciences,Mathematics & Statistics,1240,West
USM,Bachelor of Applied Science (Honours) (Applied Statistics),School of Mathematical Sciences,Mathematics & Statistics,1320,West
USM,"Bachelor of Computer Science (Honours) [Intelligent Computer / 
Computer Infrastructure / Software Engineering]",School of Computer Sciences,Computing & IT,1320,West
USM,Bachelor of Mechanical Engineering With Honours,School of Mechanical Engineering,Engineering,1400,West
USM,Bachelor of Electrical Engineering With Honours,School of Electrical & Electronic Engineering,Engineering,1400,West
USM,Bachelor of Mechatronics Engineering With Honours,School of Electrical & Electronic Engineering,Engineering,1400,West
USM,Bachelor of Electronic Engineering With Honours,School of Chemical EngineeringSchool of Electrical & Electronic Engineering,Engineering,1400,West
USM,Bachelor of Chemical Engineering With Honours,School of Chemical Engineering,Engineering,1400,West
USM,Bachelor of Mineral Resource Engineering With Honours,"School of Materials & Mineral Resources 
Engineering",Engineering,1400,West
USM,Bachelor of Polymer Engineering With Honours,"School of Materials & Mineral Resources
Engineering",Engineering,1400,West
USM,Bachelor of Technology (Honours) (Environment),School of Industrial Technology,Environmental Protection,1400,West
USM,Bachelor of Aerospace Engineering With Honours,School of Aerospace Engineering,Engineering,1400,West
USM,"Bachelor of Science (Housing, Building And Design) (Honours) (Measuring Materials)","School of Housing, Building and Planning",Architecture & Building,1400,West
USM,Bachelor of Civil Engineering With Honours,School of Civil Engineering,Engineering,1400,West
USM,Bachelor of Materials Engineering With Honours,"School of Materials & Mineral Resources 
Engineering",Engineering,1400,West
USM,Bachelor of Manufacturing Engineering With Management With Honours,School of Mechanical Engineering,Engineering,1400,West
USM,Bachelor of Technology (Honours) (Food),School of Industrial Technology,Manufacturing & Processing,1400,West
USM,Bachelor of Science (Honours) (Industrial Chemistry),School of Chemical Sciences,Science,1400,West
USM,Bachelor of Technology (Honours) (Biosource),School of Biological Sciences,Science,1320,West
USM,Bachelor of Applied Science (Honours) (Medical Physics),School of Physics,Science,1320,West
USM,Bachelor of Science In Forensic Science (Honours),School of Health Sciences,Science,1800,West
USM,Bachelor of Architecture (Honours),"School of Housing, Building and Planning",Architecture & Building,1400,West
USM,Bachelor of Town And Regional Planning (Honours),"School of Housing, Building and Planning",Architecture & Building,1400,West
USM,Bachelor of Building Measurement (Honours),"School of Housing, Building and Planning",Architecture & Building,1400,West
USM,Bachelor of Building Engineering Technology (Honours),School of Industrial Technology,Architecture & Building,1400,West
USM,Bachelor of Science (Honours) (Construction Project Management),School of Management,Architecture & Building,1400,West
USM,Doctor of Medicine,School of Medical Sciences,Medicine & Healthcare,1800,West
USM,Bachelor of Audiology (Honours),School of Health Sciences,Medicine & Healthcare,1800,West
USM,Bachelor of Nursing (Honours),School of Health Sciences,Medicine & Healthcare,1800,West
USM,Doctor of Dental Surgery,School of Dental Sciences,Medicine & Healthcare,1800,West
USM,Bachelor of Biomedical Science (Honours),School of Health Sciences,Medicine & Healthcare,1800,West
USM,Bachelor of Medical Radiation (Honours),School of Health Sciences,Medicine & Healthcare,1800,West
USM,Bachelor of Dietetics (Honours),School of Health Sciences,Medicine & Healthcare,1800,West
USM,Bachelor of Nutrition (Honours),School of Health Sciences,Medicine & Healthcare,1800,West
USM,Bachelor of Pharmacy (Honours),School of Health Sciences,Medicine & Healthcare,1700,West
USM,Bachelor of Social Work (Honours),School of Health Sciences,Social Services,1020,West
USM,Bacelor of Health Science (Biomedicine),School of Health Sciences,Medicine & Healthcare,1800,West
USM,Bachelor of Health Science (Environmental & Occupational Health),School of Health Sciences,Occupational Health & Hygiene Services,1800,West
USM,Bachelor of Health Science (Speech Pathology),School of Health Sciences,Medicine & Healthcare,1800,West
USM,Bachelor of Health Sciences (Exercise And Sport Science),School of Health Sciences,Personal Services,1800,West
UKM,Bachelor of Liberal Science with Honour,School of Liberal Studies,Social Sciences,550,West
UKM,Bachelor of Social Sciences with Honours (Media Communications),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Social Sciences with Honours (Psychology),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Social Sciences with Honours (Geography),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Social Sciences with Honours (Developmental Science),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Social Sciences with Honours (Social Work),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Arts with Honours (English Language Studies),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Social Sciences with Honour (Political Science),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Social Sciences with Honours (Antrophology and Sociology),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Social Sciences with Honours (Linguistics),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Arts with Honours (Malay Letters),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Arts with Honours (History),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Arts with Honours (Malay Language Studies),Faculty of Social Sciences and Humanities,Social Sciences,550,West
UKM,Bachelor of Economic with Honours,Faculty of Economics and Management,Social Sciences,550,West
UKM,Bachelor of Business Administration with Honours,Faculty of Economics and Management,Business Management & Administration,550,West
UKM,Bachelor of Entrepreneurship and Innovation with Honours,Faculty of Economics and Management,Business Management & Administration,550,West
UKM,Bachelor of Accounting with Honours,Faculty of Economics and Management,Accounting & Finance,550,West
UKM,Bachelor of Islamic Studies with Honours (Shariah),Faculty of Islamic Studies,Humanities,550,West
UKM,Bachelor of Islamic Studies with Honours (Theology and Philosophy),Faculty of Islamic Studies,Humanities,550,West
UKM,Bachelor of Islamic Studies with Honours (Arabic Studies and Islamic Civilization),Faculty of Islamic Studies,Humanities,550,West
UKM,Bachelor of Islamic Studies with Honours (Da'wah and Leadership Studies),Faculty of Islamic Studies,Humanities,550,West
UKM,Bachelor of Islamic Studies with Honours (Al-Quran and Al-Sunnah Studies),Faculty of Islamic Studies,Humanities,550,West
UKM,Bachelor of Law with Honours,Faculty of Law,Law,550,West
UKM,Bachelor of Education with Honours (Teaching English as a Second Language (TESL),Faculty of Education,Education,550,West
UKM,Bachelor of Education with Honours (Sports and Recreation),Faculty of Education,Education,550,West
UKM,Bachelor of Education with Honours (Special Education),Faculty of Education,Education,550,West
UKM,Bachelor of Computer Science with Honours,Faculty of Information Science and Technology,Computing & IT,600,West
UKM,"Bachelor of Information Technology with Honours 
",Faculty of Information Science and Technology,Computing & IT,600,West
UKM,Bachelor of Software Engineering with Honours (Information System Development),Faculty of Information Science and Technology,Computing & IT,600,West
UKM,Bachelor of Software Engineering with Honours (Multimedia System Development),Faculty of Information Science and Technology,Computing & IT,600,West
UKM,Bachelor of Civil Engineering with Honours,Faculty of Engineering and Built Environment,Engineering,700,West
UKM,"Bachelor of Electric and Electronic Engineering with Honours 
",Faculty of Engineering and Built Environment,Engineering,700,West
UKM,"Bachelor of Mechanical Engineering with Honours 
",Faculty of Engineering and Built Environment,Engineering,700,West
UKM,"Bachelor of Chemical Engineering with Honours 
",Faculty of Engineering and Built Environment,Engineering,700,West
UKM,Bachelor of Science with Honours (Architecture),Faculty of Engineering and Built Environment,Engineering,700,West
UKM,Bachelor of Science with Honours (Actuarial Science),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Biochemistry),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Bioinformatics),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Biology),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Chemical Technology),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Chemistry),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Environmental Science),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Food Science and Nutrition),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Food Science with Business Management),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Genetics),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Geology),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Marine Sciences),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Materials Science),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Mathematics),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Microbiology),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Nuclear Science),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Physics),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Plant Biotechnology),Faculty of Science and Technology,Science,600,West
UKM,Bachelor of Science with Honours (Statistics),Faculty of Science and Technology,Science,600,West
UKM,Degree in Doctor of Medicine,Faculty of Medicine,Medicine & Healthcare,900,West
UKM,Bachelor of Nursing with Honours,Faculty of Medicine,Medicine & Healthcare,660,West
UKM,Bachelor of Emergency Medical Science with Honors,Faculty of Medicine,Medicine & Healthcare,600,West
UKM,Bachelor of Pharmacy with Honours,Faculty of Pharmacy,Medicine & Healthcare,850,West
UKM,Degree in Doctor of Dentistry,Faculty of Dentistry,Medicine & Healthcare,1850,West
UKM,Bachelor of Science with Honours (Audiology),Faculty of Health Sciences,Medicine & Healthcare,600,West
